,tmp,count,TF,batch
0,CREM_0,12649,CREM,0
1,TP53_0,7185,TP53,0
2,NR1I3_0,7022,NR1I3,0
3,ZNF268_0,6000,ZNF268,0
4,PDCD2_0,5220,PDCD2,0
5,HMGA2_0,5000,HMGA2,0
6,CNBP_0,4998,CNBP,0
7,KCNIP2_0,4897,KCNIP2,0
8,MAX_0,4646,MAX,0
9,YAF2_0,4321,YAF2,0
10,PAX5_0,4145,PAX5,0
11,ATF3_0,4000,ATF3,0
12,ETV7_0,3960,ETV7,0
13,KCNIP4_0,3769,KCNIP4,0
14,VSX1_0,3504,VSX1,0
15,ING4_0,3418,ING4,0
16,ZNF138_0,3383,ZNF138,0
17,NFYC_0,3140,NFYC,0
18,TCF7_0,3134,TCF7,0
19,YAP1_0,3111,YAP1,0
20,ZNF248_0,3001,ZNF248,0
21,HOPX_0,2998,HOPX,0
22,ZNF655_0,2961,ZNF655,0
23,GLMP_0,2957,GLMP,0
24,ZNF525_0,2894,ZNF525,0
25,CHURC1_0,2704,CHURC1,0
26,BATF2_0,2654,BATF2,0
27,LMO3_0,2647,LMO3,0
28,TAZ_0,2626,TAZ,0
29,HMGN3_0,2497,HMGN3,0
30,FOSL1_0,2480,FOSL1,0
31,CDK2_0,2416,CDK2,0
32,ELOF1_0,2386,ELOF1,0
33,BID_0,2366,BID,0
34,CDIP1_0,2357,CDIP1,0
35,IRF3_0,2352,IRF3,0
36,KLF8_0,2312,KLF8,0
37,SPIB_0,2305,SPIB,0
38,HOXD8_0,2299,HOXD8,0
39,HES6_0,2241,HES6,0
40,POU5F1_0,2239,POU5F1,0
41,PAX3_0,2236,PAX3,0
42,MEOX1_0,2229,MEOX1,0
43,LMO1_0,2217,LMO1,0
44,ETV1_0,2176,ETV1,0
45,MYCL_0,2159,MYCL,0
46,HDGF_0,2135,HDGF,0
47,SMARCA2_0,2120,SMARCA2,0
48,TSC22D1_0,2117,TSC22D1,0
49,MEIS2_0,2094,MEIS2,0
50,PPARD_0,2055,PPARD,0
51,FXN_0,2048,FXN,0
52,MITF_0,2039,MITF,0
53,ZNF544_0,2010,ZNF544,0
54,ZNF124_0,2010,ZNF124,0
55,MLX_0,2007,MLX,0
56,NKX2-5_0,2006,NKX2-5,0
57,ZSCAN2_0,2004,ZSCAN2,0
58,ZFP90_0,2000,ZFP90,0
59,TEF_0,2000,TEF,0
60,HOXC6_0,2000,HOXC6,0
61,CAMTA1_0,2000,CAMTA1,0
62,ZNF788_0,2000,ZNF788,0
63,NR1H2_0,2000,NR1H2,0
64,ID1_0,2000,ID1,0
65,TAF11_0,2000,TAF11,0
66,HOXB8_0,2000,HOXB8,0
67,ZNF593_0,2000,ZNF593,0
68,JDP2_0,2000,JDP2,0
69,ZNF7_0,1998,ZNF7,0
70,TCEB1_0,1997,TCEB1,0
71,TCEB2_0,1996,TCEB2,0
72,SMAD3_0,1969,SMAD3,0
73,KLF5_0,1913,KLF5,0
74,ELF5_0,1893,ELF5,0
75,KCNIP3_0,1834,KCNIP3,0
76,ZIC4_0,1788,ZIC4,0
77,PBX3_0,1753,PBX3,0
78,IKZF3_0,1752,IKZF3,0
79,PBX1_0,1739,PBX1,0
80,HSFY2_0,1734,HSFY2,0
81,ZNF559_0,1731,ZNF559,0
82,TSC22D3_0,1729,TSC22D3,0
83,MBD3_0,1694,MBD3,0
84,ESRRA_0,1688,ESRRA,0
85,ZNF747_0,1688,ZNF747,0
86,PFDN5_0,1685,PFDN5,0
87,GTF2H3_0,1673,GTF2H3,0
88,SP7_0,1590,SP7,0
89,HOXA1_0,1557,HOXA1,0
90,STOX1_0,1530,STOX1,0
91,MEIS3_0,1530,MEIS3,0
92,FOSB_0,1529,FOSB,0
93,NFYA_0,1523,NFYA,0
94,YBX3_0,1518,YBX3,0
95,NME2_0,1516,NME2,0
96,TEAD2_0,1512,TEAD2,0
97,LBX2_0,1511,LBX2,0
98,EHF_0,1509,EHF,0
99,ZNF396_0,1508,ZNF396,0
100,LITAF_0,1504,LITAF,0
101,MLLT10_0,1492,MLLT10,0
102,E2F5_0,1492,E2F5,0
103,FOXP3_0,1492,FOXP3,0
104,SLC45A2_0,1469,SLC45A2,0
105,CDK1_0,1465,CDK1,0
106,DMRTC2_0,1446,DMRTC2,0
107,HELT_0,1401,HELT,0
108,NHP2_0,1400,NHP2,0
109,HMBOX1_0,1394,HMBOX1,0
110,ZNF534_0,1391,ZNF534,0
111,LDB2_0,1388,LDB2,0
112,MAZ_0,1386,MAZ,0
113,NFKBIB_0,1381,NFKBIB,0
114,THAP3_0,1379,THAP3,0
115,ETV2_0,1364,ETV2,0
116,NKX6-3_0,1363,NKX6-3,0
117,DDIT3_0,1340,DDIT3,0
118,CTCFL_0,1339,CTCFL,0
119,NR1H3_0,1328,NR1H3,0
120,TCF4_0,1323,TCF4,0
121,LHX6_0,1310,LHX6,0
122,PAX8_0,1255,PAX8,0
123,SIRT6_0,1252,SIRT6,0
124,PAX2_0,1250,PAX2,0
125,MIER1_0,1250,MIER1,0
126,HEY1_0,1244,HEY1,0
127,RNF138_0,1232,RNF138,0
128,MAFF_0,1231,MAFF,0
129,SKP2_0,1216,SKP2,0
130,HSFY1_0,1212,HSFY1,0
131,LIN28B_0,1200,LIN28B,0
132,MXD4_0,1187,MXD4,0
133,CBFB_0,1184,CBFB,0
134,ZNF773_0,1182,ZNF773,0
135,KLF7_0,1170,KLF7,0
136,POU2F2_0,1169,POU2F2,0
137,RFXANK_0,1166,RFXANK,0
138,MXI1_0,1156,MXI1,0
139,PMS1_0,1155,PMS1,0
140,OVOL1_0,1154,OVOL1,0
141,EWSR1_0,1153,EWSR1,0
142,NANOG_0,1147,NANOG,0
143,ZBTB37_0,1146,ZBTB37,0
144,BLZF1_0,1141,BLZF1,0
145,WT1_0,1138,WT1,0
146,ING1_0,1137,ING1,0
147,SHOX2_0,1134,SHOX2,0
148,ZNF789_0,1099,ZNF789,0
149,ZNF343_0,1096,ZNF343,0
150,SMAD7_0,1087,SMAD7,0
151,ZBTB25_0,1082,ZBTB25,0
152,ZNF821_0,1076,ZNF821,0
153,ZFP1_0,1076,ZFP1,0
154,YEATS4_0,1071,YEATS4,0
155,ETV3_0,1055,ETV3,0
156,DLX1_0,1055,DLX1,0
157,TARBP2_0,1051,TARBP2,0
158,IRF8_0,1045,IRF8,0
159,MSX2_0,1037,MSX2,0
160,EMX2_0,1036,EMX2,0
161,ZNF780A_0,1035,ZNF780A,0
162,ZNF195_0,1032,ZNF195,0
163,ZNF483_0,1029,ZNF483,0
164,ZNF3_0,1028,ZNF3,0
165,VAX1_0,1026,VAX1,0
166,ZNF680_0,1026,ZNF680,0
167,ZNF74_0,1026,ZNF74,0
168,THAP1_0,1020,THAP1,0
169,NKX3-1_0,1019,NKX3-1,0
170,DUX4_0,1015,DUX4,0
171,ZNF189_0,1011,ZNF189,0
172,GCFC2_0,1008,GCFC2,0
173,ZNF695_0,1008,ZNF695,0
174,GBX2_0,1007,GBX2,0
175,ZNF426_0,1006,ZNF426,0
176,ZNF394_0,1004,ZNF394,0
177,ATF7_0,1004,ATF7,0
178,ZNF468_0,1004,ZNF468,0
179,MTA1_0,1004,MTA1,0
180,RARG_0,1003,RARG,0
181,ZNF85_0,1003,ZNF85,0
182,SS18_0,1003,SS18,0
183,ZNF226_0,1002,ZNF226,0
184,ZNF37A_0,1002,ZNF37A,0
185,CCNT1_0,1001,CCNT1,0
186,ZNF280D_0,1001,ZNF280D,0
187,HMGB4_0,1000,HMGB4,0
188,LEUTX_0,1000,LEUTX,0
189,HOXA4_0,1000,HOXA4,0
190,HOXB9_0,1000,HOXB9,0
191,DBP_0,1000,DBP,0
192,SEBOX_0,1000,SEBOX,0
193,ZNF233_0,1000,ZNF233,0
194,CREBL2_0,1000,CREBL2,0
195,RHOXF2_0,1000,RHOXF2,0
196,NANOGNB_0,1000,NANOGNB,0
197,IGFBP1_0,1000,IGFBP1,0
198,CARHSP1_0,1000,CARHSP1,0
199,NOV_0,1000,NOV,0
200,ID3_0,1000,ID3,0
201,HSBP1_0,1000,HSBP1,0
202,HOXA7_0,1000,HOXA7,0
203,GSC2_0,1000,GSC2,0
204,HES3_0,1000,HES3,0
205,ZSCAN9_1,1000,ZSCAN9,1
206,HOXB7_0,1000,HOXB7,0
207,ZFP41_0,1000,ZFP41,0
208,MSC_0,1000,MSC,0
209,ZNF761_0,1000,ZNF761,0
210,ZNF69_0,1000,ZNF69,0
