,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90,phi_91,phi_92,phi_93,phi_94,phi_95,phi_96,phi_97,phi_98,phi_99,phi_100,phi_101,phi_102,phi_103,phi_104
ABCA1,-0.00779271,-7.47542e-05,-3.81061e-05,9.47227e-05,-4.7872814e-05,0.0015435424,-7.983071e-05,-0.0042011584,4.3967226e-05,1.3742123e-05,0.0003660443,6.246472e-05,0.005123641,5.080788e-05,-3.7678878e-05,-8.613793e-05,-3.092513e-05,-7.778545e-05,-0.00020258674,0.00013122293,-0.00025949834,8.088596e-05,5.0766863e-05,0.00038448957,5.630933e-05,0.0010305783,7.670149e-05,5.5725115e-05,-1.3819897e-06,7.967777e-05,-0.0012566088,-6.0569728e-05,-0.00059713755,-7.814631e-05,-7.658802e-05,-0.00028311118,-7.926782e-05,0.00047292322,-8.020719e-05,1.245451e-05,3.640798e-06,0.0012872233,-1.3233051e-06,0.000587016,8.529168e-07,-1.545291e-05,3.7714783e-06,-8.232823e-06,-0.0012755018,1.5589821e-08,4.236537e-05,-0.0012751133,-5.076922e-05,-0.0006024008,-6.966701e-05,-7.100058e-05,-0.0002609332,-6.697664e-05,0.0005625786,-5.30861e-05,-0.004479717,-0.00065607874,0.0011105678,0.0012728816,0.00080252567,-0.00066162355,0.0013919111,-0.0022690739,0.0012819585,5.7393907e-05,-0.00038974927,5.656173e-05,4.8623286e-05,0.00021149908,5.1857565e-05,0.0011708525,5.2029016e-05,0.010524541,0.0006048983,0.00030821253,0.00024188653,0.00055151794,-0.009942193,0.0005992479,4.2578875e-05,7.377848e-05,0.00027078978,7.546783e-05,-0.0005252152,6.399842e-05,3.733904e-05,0.0002741225,6.796759e-05,-8.3300234e-05,6.328263e-05,-0.005961544,0.0002944598,0.0017569343,0.0002580203,1.794556e-05,-0.00071630516,6.7781664e-05,0.0018773222,-0.0005897271,1.6583419e-05
ABCB11,0.000978305,-0.00025412222,0.00044030452,-0.00021014466,0.00042646469,-5.5403407e-06,-4.4932003e-05,0.003156462,-0.00043339716,-0.00034417477,-0.0006592575,-0.0004438097,0.00078353507,-0.00042154113,3.351389e-05,-6.245026e-06,4.1752734e-05,-1.3039677e-05,0.00010783882,-1.5983161e-07,-0.00058192445,9.966568e-06,-3.857216e-05,-0.00053455733,5.123872e-06,0.0005151824,1.9775707e-05,-0.0002185415,0.00029870757,-0.00028884527,0.00023587198,-0.00021521225,-2.5168496e-05,0.00026355218,0.00026445172,1.208375e-06,0.00037590516,-0.00025145485,0.00030884083,-0.00023701231,0.00037519992,-0.0002943409,0.00021655762,0.00036258408,-0.00032544517,-0.00027558574,0.00032092066,-0.00041620145,-0.00015165411,-0.00035390432,-0.0002493364,0.00024664018,-0.00019028397,-5.701096e-05,0.00027493289,0.00025968847,-3.071677e-05,0.00042026647,-0.00021247927,0.00026239542,-0.0007584708,0.00019176185,0.00048055456,-0.00024283839,-0.00013518242,-0.0003589263,-0.00028503366,-8.256562e-05,-0.00025046064,-3.1410058e-05,-0.0004514572,0.00020737319,0.00012396017,-0.0004453556,0.00031697136,0.00036825117,0.00019932714,0.0007492267,4.5963145e-05,-0.00011309706,0.00036881346,7.122074e-05,-0.00062021095,6.445226e-05,-0.00023165117,-0.0002586993,1.867886e-05,-0.00037659716,0.00022798387,-0.00026904643,-7.0062306e-05,-0.00012234326,-0.00024103638,0.00027391838,-0.00029009662,-0.0016190057,-2.8069924e-06,0.0014247298,3.53602e-05,-0.00027626593,0.00022155719,-0.0004085224,-0.00045501563,0.00020425141,-0.00022738204
ABHD12B,0.0071954983,0.0002864799,-0.0017758249,0.0014112102,-0.0017768824,0.0014865801,-0.00048323657,0.016045328,0.0017841323,0.0012559185,0.00088542944,0.0019557362,-0.0061350637,0.001776819,-5.129483e-05,6.3738355e-08,-5.8084763e-05,-1.6367325e-06,-0.00068627886,0.00012502943,0.002155264,-2.3476093e-06,-4.8675898e-05,-0.0004721535,-7.294295e-05,0.000982823,1.1367081e-05,0.00066612894,-0.0005691318,0.000671979,-0.000628439,0.00028331968,-0.001331374,-0.0006730755,-0.00041206434,-0.00073095335,-0.0006878191,0.00081468996,-0.0006698422,0.0005326537,-0.0005891418,0.0009697014,-0.00029401516,-7.8390796e-05,0.000582007,0.00036210238,0.00094557216,0.0006198274,-0.0013086218,0.00058727857,0.00067593553,-0.00067034544,0.00026952478,-0.0012249602,-0.0006788562,-0.00041776156,-0.00076866423,-0.0006936118,0.00087550463,-0.000675949,-0.0028363448,-0.0008082878,0.00076444313,0.0006607239,0.00024497358,0.0003630853,0.0006914127,-0.0013228373,0.0006794224,0.00018710073,0.001225714,-0.00028307937,-0.00018838941,-0.0007398634,-0.00036659656,0.0011132885,-0.0002804437,0.0042788754,0.0012669143,0.0014677814,-0.0025909732,0.0014983205,-0.0055314694,0.001201361,0.0006765147,0.00041778793,0.0007581395,0.0007003926,-0.000861413,0.000677291,0.0003069425,0.0003168503,0.00043192058,-0.00030656793,0.0004069941,-0.0043686936,0.00075076614,0.0033407465,0.0007720255,0.00073304394,-0.000953728,0.0006970773,0.001318474,-0.0008883813,0.0006690233
ABHD3,-0.0018147812,0.00025010356,0.00023654294,-0.00031513956,0.00024881054,-0.00019382196,0.00024819648,0.0028883216,-0.00024692228,-0.00010880456,0.0014616298,-0.00024478685,-2.1856479e-06,-0.0002487508,-7.686404e-05,-0.000116970215,-2.205495e-06,-0.00010666174,0.0006157342,5.3883603e-05,-0.00061822275,0.00011115583,0.000103315004,-0.00039667194,0.00010404734,0.0011440511,0.000103574814,9.963816e-05,-9.150333e-05,0.00015688076,-0.001162341,-1.000399e-06,0.000618355,-0.00014486925,-0.00017710832,0.00023169171,-0.00019470185,-0.00081429153,-0.00017075878,7.4050995e-06,-0.00010823777,0.00060229516,-5.2137897e-05,-0.00023517702,9.4761075e-05,7.7784316e-05,8.539815e-05,8.928245e-05,1.9244248e-05,0.00010151783,8.3579194e-05,-0.0011251805,-7.511e-06,0.00059362437,-0.00013058574,-0.00016485163,0.0002046276,-0.00020074731,-0.0007418343,-0.00011052858,-0.005170189,8.223105e-05,0.00065126165,0.0011429498,0.00091025356,-0.0033982808,0.0011860363,-0.0014303419,0.0011152067,-9.392789e-06,-0.00024210164,1.5355057e-06,1.871814e-05,-0.0002706186,-2.2776267e-05,0.0006338546,1.1515193e-07,0.011942638,-0.00060135726,-0.0005948899,-0.00043915553,-0.0007194685,-0.008927855,-0.00059537956,7.099055e-05,0.00016926657,-0.0002167493,0.00017725318,0.00076909503,0.00012709427,4.4529384e-05,-0.00024698052,0.00014849298,0.0007890036,0.0001696203,-0.007003921,-0.00020628597,0.0055853315,-0.00019616887,1.4366655e-05,0.0008291311,0.00019104032,0.0016350363,0.0007314206,5.687383e-05
ABTB2,-0.0005298747,-0.0007734342,-0.0002973643,0.0007571413,-0.00035591985,0.0010293751,-0.000768846,0.0021672999,0.0003374453,-2.849356e-06,-0.00084641227,0.00034432442,-0.0025895038,0.00036433546,0.000110735,3.1915264e-05,4.329182e-05,2.357101e-05,-0.00047839395,-3.4726792e-05,-0.0008196229,-2.7160391e-05,-4.6976438e-05,-0.00014626376,-1.0495177e-05,-0.000179451,-2.0083944e-05,-3.95451e-05,7.672003e-05,-7.673852e-05,-0.0017072276,-4.5558012e-05,-0.00063728326,6.0763752e-05,0.00011110097,0.00014415527,0.00013894735,-0.00020659447,9.01653e-05,-4.8292586e-05,0.00010392238,0.001733674,9.37487e-05,0.001114323,-8.073683e-05,-7.4198164e-05,-4.774941e-05,-0.00010997764,0.00017988037,-9.334662e-05,-3.5457866e-05,-0.0017365142,-3.225408e-05,-0.00069164764,6.16694e-05,0.00010091351,0.00013119043,0.000150548,-0.00021128144,5.2817933e-05,-0.0043548555,-0.0010180244,0.0043140985,0.0017334322,0.0009977432,-0.0037505087,0.0018262595,-0.0004672081,0.0017395051,-5.9405656e-06,-0.00094742683,4.2296404e-05,1.0953516e-05,-5.9747326e-05,0.000111374895,-0.00014360591,4.3005733e-05,0.010787987,0.00066725665,0.0002268561,-0.0017514763,0.00079386024,-0.008240071,0.000712969,-2.349149e-05,-0.000102379694,-0.00013574149,-0.00011713206,0.00020869497,-6.270131e-05,-1.2001076e-05,-0.00013455772,-9.584715e-05,7.398925e-05,-0.00011573452,-0.0036076931,-0.00016724167,0.002248023,-0.00013043171,-3.5736877e-05,0.00011785762,-0.00014201025,0.0041327174,0.0002018113,-2.2596209e-05
ACOXL,-0.016677272,0.00019810582,0.00039825222,-0.0005230511,0.00041656708,-0.00053973915,0.000358526,-0.016411318,-0.0004124013,-0.00021167674,0.0029352992,-0.00046283606,0.008448254,-0.0004188475,-1.785217e-05,-1.6438333e-05,-6.494205e-05,-5.586996e-06,0.0007978622,6.200171e-05,0.00023152036,1.0539935e-05,5.7331472e-05,0.000516722,3.429279e-05,-0.00051692914,-5.956166e-06,-0.00025197264,0.00018654382,-0.00022762283,0.00039769715,-9.354949e-05,-0.00017797049,0.00024000209,0.00010570659,-0.00021325928,0.00019901207,-0.0004896663,0.00021966184,-0.00013508418,0.00016909419,-0.0008888387,2.1627764e-05,-9.7883705e-05,-0.00017992838,-0.00011682945,-0.00016326585,-0.00016865676,0.0006465209,-0.00017242653,-0.00024772514,0.00045533382,-8.155386e-05,-0.0001547936,0.0002374965,0.00011427991,-0.00017717168,0.000190395,-0.00050576124,0.00024185369,-0.0070216204,0.000847178,-0.0008885221,-0.00043542462,-6.427193e-05,-0.00082456577,-0.00046846928,-0.0024762265,-0.00046681566,6.4551086e-06,0.00019779317,8.73867e-05,8.5495885e-05,0.00037231785,0.00011861072,-0.00052643305,8.170504e-05,0.013527193,0.0001649448,0.00017179316,-0.0019831848,7.4299765e-05,-0.010508656,0.00014636769,-0.00025332588,-0.000112290356,0.00019166646,-0.00020283142,0.0005042707,-0.00023933164,-0.000114836424,0.00026454014,-0.00012409108,0.0001902191,-0.000105529354,-0.007664466,0.00017375442,0.0038012338,0.0001686186,-0.00025039003,0.00049094367,-0.0001934913,0.00366105,0.00050302554,-0.0002490562
ACTA1,-0.004015468,0.00017421828,-0.0006024865,0.00041559638,-0.0005901585,0.00022831571,-8.738156e-05,-0.0071392846,0.0005974027,0.0004377062,-9.368474e-05,0.00064963155,0.0044539534,0.00059101044,-2.0467256e-05,-5.3068256e-05,8.495639e-06,-5.1151652e-05,0.00046019032,7.6753175e-05,0.00051839114,5.216778e-05,7.774049e-06,0.00064024853,3.9609316e-05,0.00016540755,5.1508403e-05,0.0002482153,-0.00028491774,0.0003233939,0.0006167368,0.000104717765,-0.00035899074,-0.00029752907,-0.00026439727,-0.00010493899,-0.00038637023,0.0006851903,-0.000339982,0.0002273196,-0.00030636476,-0.00087785,-0.00010124938,3.740164e-05,0.00029607958,0.00019375369,-0.00034241658,0.00031294214,-0.00074233266,0.00029892474,0.0002604854,0.0006593898,0.00010997187,-0.00033188565,-0.0003022549,-0.00026430763,-5.4603315e-05,-0.00039518758,0.0007053859,-0.00028625078,0.0014451729,0.0006637227,-8.694669e-07,-0.0006446318,-0.00029709563,-0.00036487638,-0.0006950634,0.0012236313,-0.00066763343,9.764088e-05,0.00026493933,-0.00010845518,-7.2913215e-05,0.00048680362,-7.417626e-05,0.0004417168,-0.000110065346,-0.0029587508,0.00034213523,0.00037174104,-0.0012261543,0.00042332208,0.0027716865,0.00033337018,0.00023916246,0.00026597903,7.4798554e-05,0.00037581462,-0.0007003546,0.00029380943,0.00011399361,0.00020425109,0.0002665042,-0.00040605743,0.0002594281,0.0029332098,1.50524165e-05,-0.0010292671,4.2611126e-05,0.00028017347,-0.0007446009,0.00038905078,-0.0018321726,-0.00070943206,0.00021830856
ACTA2,-0.0019502321,0.0001437387,-0.00077634916,0.0005967719,-0.0007662468,0.0011513956,-0.00019292603,-0.0050145495,0.0007766496,0.0005519872,0.0009899746,0.00082761777,0.0044388883,0.00076514826,5.332214e-05,0.000139575,-5.735276e-05,0.0001288621,-0.0001306365,1.0479538e-05,0.00043424004,-0.00013633611,-0.00013187421,-0.0002937682,-0.00015229412,0.0010400895,-0.000118745425,0.0002455748,-0.0002238547,0.00020874041,-0.0007779989,0.00017861143,-0.00061688176,-0.00022086245,-4.8917816e-05,-0.00024021963,-0.00017535621,-0.00062342465,-0.00019759707,0.00027331253,-0.00022200355,0.0008304356,-0.00013687338,0.0003351736,0.00022548132,0.000111886606,0.0003943814,0.000228984,-3.074818e-05,0.00022746947,0.00025802772,-0.0007992413,0.00017416675,-0.00060267234,-0.0002278357,-6.026423e-05,-0.00026190124,-0.00017733953,-0.0005756251,-0.0002475786,0.0014430038,-0.00046170334,0.0007851585,0.00079664955,0.0004924013,-0.00018359686,0.0008723677,0.000326428,0.000806738,0.00010890298,6.636723e-05,-0.00017781976,-0.00012770423,-0.00034070038,-0.00018377302,0.0005801917,-0.00017518007,-0.0028887982,0.00061194814,0.0005044071,0.00036879818,0.000670232,0.0021847612,0.00060225953,0.00025789204,5.5945075e-05,0.00025518352,0.00018532519,0.0005928824,0.00022953305,9.3972696e-05,7.853467e-05,7.68573e-05,0.00065021974,5.48165e-05,0.0026732467,0.0002495456,-0.0013366967,0.00026589443,0.00027220356,0.0006432945,0.00018359664,-0.0014311082,0.00056668516,0.00028158462
ACTB,-0.05672531,0.00069031474,0.0009527201,-0.001335576,0.0009891752,-0.0017138825,0.0010263103,-0.088476636,-0.0009801992,-0.00044000518,0.0037308019,-0.0010685767,0.043072566,-0.0009795009,2.9731184e-05,7.7450946e-05,-0.00016350951,9.5651434e-05,-0.00089424965,0.00013554339,-0.0011710683,-8.622898e-05,6.83875e-07,-0.00013864641,-7.773046e-05,0.00043341095,-0.000119068674,0.00031874617,-0.0004018377,0.0003622164,-0.00064494996,0.00022277128,-0.0009322428,-0.00035091524,-0.00023147458,-0.001812618,-0.00037849587,-0.0020211665,-0.0003705096,0.00048383445,-0.0004307367,0.0010672781,-0.00030798418,0.0013806815,0.00041983777,0.00023853841,0.0017785983,0.00043567835,0.0015594251,0.0004255575,0.000350682,-0.00069811486,0.000245324,-0.0010118255,-0.0003625966,-0.00023263754,-0.0018265934,-0.0004063039,-0.001989045,-0.0003594448,0.023513796,-0.000998753,-0.005928895,0.0006839133,0.00017048874,0.0101570515,0.000631425,0.0063050054,0.00069926877,0.00022398951,-0.0011906833,-0.00023512419,-0.000111260546,-0.0008680144,-0.0002341889,-0.000517803,-0.00024575114,-0.04489937,0.0009857493,0.0003445782,0.0017049778,0.0009226234,0.042971697,0.001024325,0.00033223024,0.00023266424,0.0018357972,0.00038291884,0.0020165679,0.00036002885,8.4535735e-05,0.0011260796,0.00022184006,0.0013982987,0.0002443993,0.03047999,0.0019295046,-0.01971713,0.001825421,0.00034630246,0.002097315,0.00039968468,-0.018289527,0.001991135,0.00034197018
ACTC1,-0.005427106,3.2382282e-05,0.0005705459,-0.0005234688,0.0005774483,0.0005523899,0.00025579866,-0.011066327,-0.00057827664,-0.00036624676,-0.0002207849,-0.0006116455,0.007060704,-0.00057729246,-1.2518927e-05,-5.3523927e-05,7.398359e-05,-5.9945927e-05,-3.8983217e-05,-8.512836e-06,-0.00036700827,5.6011082e-05,-3.3929588e-05,-0.000541202,2.1571734e-05,0.00023779331,6.747286e-05,-4.72309e-05,0.00010589456,-5.8701935e-05,-2.9300667e-05,-7.659698e-05,0.00024309741,5.395475e-05,5.313735e-05,0.00017088,8.321581e-05,-0.00018244272,6.3244814e-05,-0.00013579709,0.00011642618,4.5754176e-05,0.00011058417,-4.8950246e-06,-0.00011222322,-5.987022e-05,0.0002464702,-0.00012813714,4.301401e-05,-0.000115998446,-6.171789e-05,-2.9247385e-05,-8.809025e-05,0.0002218443,6.1604434e-05,5.196411e-05,0.000118717064,9.407509e-05,-0.00017343601,6.393201e-05,0.0010678258,-3.765121e-05,0.00017876964,2.949439e-05,1.15290395e-05,0.00029385934,1.7291992e-05,0.0012507011,2.981559e-05,-3.5037465e-05,-0.00018285376,8.343394e-05,1.7532651e-05,-0.00045834488,5.160149e-05,0.000106354484,8.681775e-05,-0.0029126408,-0.00023192281,-0.00025001352,-0.00038398948,-0.00024964372,0.0029164313,-0.0002173952,-5.7054447e-05,-5.2127107e-05,-0.00014317581,-8.577962e-05,0.00017727776,-6.2700514e-05,5.1172087e-06,-0.00024214869,-4.6211197e-05,0.000174907,-5.791097e-05,0.0026641889,-0.00016715759,-0.00055206864,-0.00011426654,-7.8176934e-05,0.00021604776,-9.0969545e-05,-0.0020241172,0.00017666494,-6.582529e-05
ACVR1,6.388008e-05,1.4841025e-05,-0.0012263004,0.0010984418,-0.0012259325,0.0022178362,-0.00048428608,0.0059216535,0.001240585,0.00084848976,-0.00036017413,0.0013768813,-3.427874e-05,0.0012348657,-4.7669644e-05,9.404289e-05,-0.00017533213,0.00010673572,2.087008e-05,0.0001595954,0.00083745335,-0.00010123448,-1.8981911e-05,-6.223603e-05,-9.203774e-05,0.0006844593,-0.000113882226,0.00021934794,-0.00014153252,0.00014301208,0.00034279295,2.2275794e-05,0.00056206906,-0.00016954695,3.6941747e-05,-0.0016366096,-9.217996e-05,0.00070564914,-0.00012299007,0.0003076826,-9.195632e-05,-0.0002837382,-0.00014926013,-0.0008922677,0.00012545945,-4.6683122e-05,0.0015055102,0.00012117857,-0.0010357999,0.00011881286,0.0002234483,0.00034384636,8.840391e-05,0.0005936879,-0.00017352989,2.2788225e-05,-0.0016466228,-5.0328206e-05,0.00074545486,-0.00019976449,-0.005250324,0.00014489322,0.0021554797,-0.00034553243,-0.00019276577,-0.0023365014,-0.00030167107,-0.00017766235,-0.00034133278,0.00019570212,0.00085702084,-4.808987e-05,2.4480074e-05,-0.00072331313,1.1536924e-05,0.0008457169,-7.202508e-05,0.013099537,-0.0005883632,-0.000115484,0.00024835332,-0.0005094636,-0.010986965,-0.00059451954,0.00023529984,-2.5551291e-05,0.0016528404,9.742431e-05,-0.00073485065,0.00017628072,7.225388e-05,0.001050696,-1.9230736e-05,-0.0002868489,-5.6602556e-05,-0.0067676883,0.0017490328,0.0034943079,0.001662766,0.00025945457,-0.000760109,6.9028516e-05,0.0032743942,-0.0007542342,0.00025035723
ADAM12,-0.0025824883,0.0007031255,3.4322435e-05,-0.00045695237,8.283338e-05,-0.00046505022,0.0005835039,-0.0030420152,-6.7618705e-05,0.00015324325,-0.0020333955,-5.3194377e-05,0.0072593032,-8.204968e-05,-0.00012236992,-0.0001108502,-0.00013880455,-8.456821e-05,-0.00044126133,0.00017608838,0.00014981505,9.581307e-05,0.00013975968,0.00026292226,8.0486105e-05,0.00038520223,7.7327524e-05,0.0005707198,-0.0005450052,0.0006427246,0.0007556989,0.00023169107,0.0010261912,-0.0006261639,-0.00049502926,-0.0001689015,-0.0007239168,0.00024096676,-0.00065569533,0.00047832076,-0.0005936192,-0.000420123,-0.00038517584,-0.0010239328,0.00057029095,0.00036501803,-3.217136e-05,0.0006263039,-0.00042645205,0.0005893967,0.0005854761,0.00073166046,0.00023461685,0.001042192,-0.0006291024,-0.00048511062,-0.0001505766,-0.0007485872,0.0002650941,-0.0006100529,-0.0005850192,-6.593672e-05,0.00017696989,-0.0007476174,-0.0006157554,0.0008671851,-0.0008557823,-0.00095306436,-0.00073010795,0.00013768217,0.0005237812,-0.0002393566,-9.9071935e-05,0.00017287798,-0.0003425686,0.00037870888,-0.00024696885,-0.0005086662,-0.0010331414,-0.0006779845,-0.0004190764,-0.0011975154,0.0005745901,-0.001057851,0.0005634335,0.00048763823,0.00015849166,0.0007193018,-0.00025731782,0.0006226166,0.00025401294,0.00017991972,0.00050899916,-8.411636e-05,0.00049861404,-0.0002822542,0.00016305866,-0.0007804721,0.0001477262,0.00062165904,-0.00025393558,0.00073931954,-0.0009923397,-0.00026813528,0.00056136074
ADAMTS12,-0.00931758,-0.00020207436,-0.0007687646,0.00082781963,-0.00079165964,0.0008408064,-0.00047446383,-0.0071562408,0.0007833933,0.00047798333,0.0016434534,0.0008913682,0.00413521,0.0008042169,-3.954154e-05,-4.193358e-05,1.637738e-05,-4.115019e-05,-0.0012823013,2.94582e-05,-0.0005608056,4.127582e-05,8.589723e-06,-0.00041354378,1.0556184e-05,0.00044919748,4.1321047e-05,0.00019004154,-0.00016071936,0.00020835787,-0.000572307,7.216819e-05,0.00019038006,-0.00020460445,-0.0001510985,-0.00064194395,-0.00022317246,0.00112951,-0.00021036879,0.0001315751,-0.0001697174,0.001292911,-5.5760487e-05,0.00022822982,0.00016518011,0.00011655035,0.0008687755,0.00017997406,-0.0014071884,0.00016621545,0.00019012316,-0.0006546667,5.4491535e-05,0.00014692635,-0.00020445623,-0.00015034748,-0.0006754705,-0.00022490427,0.0011696899,-0.00019737442,-0.006192887,-0.0012986272,8.371392e-05,0.0006271258,5.8068294e-05,-0.0012777488,0.0006263676,-0.002894379,0.00066710205,4.6122244e-05,-0.00041311464,-6.512927e-05,-4.9534352e-05,-0.00066228915,-0.0001193453,0.0008722225,-5.9354363e-05,0.015699763,-0.00016487988,-0.000246548,-0.0012804454,-0.00011550363,-0.014516264,-0.00013340249,0.00018896711,0.00015130528,0.0006663932,0.00022336392,-0.0011617098,0.00020197507,7.929618e-05,0.0002943464,0.00015271516,-0.0006574197,0.0001494255,-0.008590073,0.0006804318,0.0037974268,0.0006799719,0.00019873097,-0.0013269508,0.00022273594,0.0044889813,-0.0011905113,0.00017805204
ADAMTS17,0.0016785647,0.00023727538,8.327181e-05,-0.00018913568,9.712726e-05,-0.0010286345,0.00019937851,0.0053684884,-9.30628e-05,1.9722092e-06,-0.00049301976,-7.4581236e-05,0.001622303,-9.670163e-05,-2.928249e-05,-3.6032084e-06,0.00011044495,-1.5529056e-05,-0.0003022535,-0.00015335942,-3.391427e-05,1.0786517e-05,-1.8983597e-05,-0.00026021543,5.4781485e-06,-0.0007647431,2.1851034e-05,0.0003986972,-0.00040084127,0.00043350784,0.0011873447,0.00023488465,0.00058622315,-0.00042392104,-0.00031589167,2.5978872e-05,-0.0004849488,-0.00019492269,-0.0004425021,0.00022843752,-0.00042863848,-0.00082562305,-9.7582255e-05,-0.00040595702,0.00041402417,0.0003346454,7.539913e-05,0.00045252233,0.0006495691,0.0004142349,0.0004100518,0.0011676098,0.00019666424,0.0005755814,-0.00042556613,-0.00032077474,4.163854e-06,-0.0005112117,-0.00024151034,-0.00041771948,-0.0035156275,0.00020333423,0.0024440477,-0.0011771532,-0.0008516224,-0.002799545,-0.0012044929,-0.003118826,-0.0011615969,-8.836273e-05,0.00012586384,-0.00021868062,-0.00018158367,-0.00018221265,-0.00030292282,-0.0007354773,-0.00020375206,0.008854694,-0.00058301084,-0.0004081105,-0.002844289,-0.0005843027,-0.008356659,-0.00056978996,0.00039877815,0.00031967156,-1.8239183e-05,0.00048626866,0.00022860999,0.00041875715,0.00016394725,-8.7453656e-05,0.00033043872,-6.8075904e-05,0.00033472868,-0.006865169,-7.748264e-05,0.0025602062,-3.5199125e-06,0.00043326378,0.00023920722,0.00049990945,0.0028574532,0.00024964483,0.00039008108
ADAMTS19,-0.005377175,3.4322861e-06,0.00082439004,-0.000725639,0.000829315,0.0013128255,0.00032754775,0.006304653,-0.0008298162,-0.0005466606,0.000981421,-0.0009112269,0.0017871355,-0.00083115924,-8.7638546e-05,-3.1597963e-05,3.6346395e-05,-3.7564845e-05,-0.0004468163,-7.214214e-05,-0.00011065351,3.516609e-05,-1.1688557e-05,0.0009313132,-2.929709e-05,0.0016602564,5.6504767e-05,-8.246213e-05,3.0129695e-05,-1.9996121e-05,0.00038693208,6.501764e-05,-8.508491e-06,4.583102e-05,-7.508037e-05,-0.00031034116,-4.465289e-05,0.00020727217,3.4648733e-06,-0.00017234372,-2.5833226e-05,-0.000119005206,-1.911561e-05,-9.2021444e-05,-2.2416949e-05,5.8420603e-05,-0.00035116458,1.9322215e-05,-0.0012673008,-6.5391396e-06,-8.885662e-05,0.00037101345,1.2588328e-06,1.42306e-05,4.8159e-05,-6.699732e-05,-0.00024964448,-7.15276e-05,0.0003149977,6.946107e-05,-0.008002147,-0.0001778812,0.0003520525,-0.00037417084,-0.00038085165,-0.005739041,-0.00045143953,-0.0017381737,-0.00037271355,-0.00013167903,1.9944398e-06,-4.126601e-05,-3.94451e-05,0.0006963573,-0.00015537078,0.0015160213,-2.3912598e-05,0.025247002,5.4427824e-06,-5.602726e-05,-0.0016740727,-0.00019307165,-0.022433562,-3.0126956e-05,-0.00010307067,6.4371685e-05,0.0002728953,3.6060796e-05,-0.00027519988,-5.71392e-05,-2.49395e-05,0.00043079187,4.1703373e-05,0.00027368942,8.447012e-05,-0.015513983,0.00027571747,0.0070093293,0.00023643486,-0.00011154225,-0.0002671709,5.878178e-05,0.005196528,-0.0003370004,-0.00012418663
ADAMTS20,0.0017726612,-0.00061655743,0.0013577174,-0.00083149265,0.0013201414,0.0010047401,2.4048008e-05,0.011035036,-0.0013463533,-0.001059454,0.0006128025,-0.0014671315,-0.0028807095,-0.0012982779,3.0112988e-05,3.1757238e-05,0.0001978104,7.1015565e-06,-0.00048946217,-0.00037194154,7.445201e-05,-1.7189317e-05,-6.572738e-05,-0.00088436756,-6.859872e-06,-0.0018865155,2.396011e-06,-0.00077423983,0.00062185124,-0.0007525084,1.888232e-05,-0.00021663637,0.0018799277,0.000764051,0.00042586675,-0.00202246,0.00073653157,0.00073251437,0.0007384424,-0.00080513675,0.00060816057,0.0002529318,0.0003781493,-0.0017308664,-0.00062752364,-0.00030081387,0.0022534719,-0.00066031987,0.00041544583,-0.00062873977,-0.0007951686,-5.544396e-06,-0.00027137954,0.0018892421,0.000774039,0.00043372228,-0.002075246,0.0007306535,0.0006401913,0.00078627374,-0.007942489,-0.00036205273,0.0012039895,-9.796735e-07,-0.00012941111,-0.00058484153,-3.80685e-05,-0.0046277205,5.0042527e-06,-0.00046973096,0.000871685,0.00024205602,9.161734e-05,-0.0015286038,0.00019991401,-0.0012231744,0.00026215738,0.013966639,-0.0019000389,-0.0011521261,-0.0021243382,-0.0019514626,-0.01502457,-0.0018838552,-0.00079480535,-0.00043613568,0.0020694535,-0.00075742276,-0.00066424947,-0.0007744558,-0.00033885648,0.0010632145,-0.000461333,-0.0009890378,-0.00041552482,-0.00952237,0.0020647002,0.0052831518,0.0020776303,-0.0008467305,-0.00088248943,-0.0007439237,0.005032175,-0.0006365276,-0.000802547
